x	y	time	fwi	ffmc	dmc	dc	isi	area
-6.569610000000001	-51.09926	2017-01-01-04:51:00	0.22203684	60.55454	0.54792106	21.903824	0.54792106	0.6433204583525259
-11.65816	-54.47671999999999	2017-01-01-04:53:00	0.28503049999999996	68.29526	0.6613146	19.57548	0.6613146	0.021774581048556292
-18.69664	-58.08344	2017-01-01-04:55:00	44.668673999999996	92.94923399999999	15.014372	799.7408	15.014372	3.3188159435586257
-19.53581	-57.38389	2017-01-01-04:55:00	35.503014	92.22666	15.488582000000001	474.68505999999996	15.488582000000001	6.228136255812035
-15.89425	-63.163230000000006	2017-01-01-04:55:00	0.5333306999999999	68.22463	0.8118837	342.7403	0.8118837	0.01531394280532638
-18.679000000000002	-58.727619999999995	2017-01-01-04:55:00	42.657818	92.99127	14.303636	578.2736	14.303636	0.2106653780450315
-19.73968	-58.244319999999995	2017-01-01-04:55:00	61.589138	94.289185	24.55078	645.2778	24.55078	10.467331808508833
-17.74108	-60.72145	2017-01-01-04:55:00	41.924656	92.22745	15.151539999999999	757.904	15.151539999999999	0.21891067493746474
-18.87266	-58.27976999999999	2017-01-01-04:55:00	42.657818	92.99127	14.303636	578.2736	14.303636	0.03430660358545272
-19.765439999999998	-58.28285	2017-01-01-04:55:00	61.589138	94.289185	24.55078	645.2778	24.55078	8.680575925437124
-18.97764	-57.917930000000005	2017-01-01-04:55:00	44.668673999999996	92.94923399999999	15.014372	799.7408	15.014372	0.03194712759314282
-17.85652	-62.45271999999999	2017-01-01-04:55:00	39.064865000000005	92.204346	19.508454999999998	382.67404	19.508454999999998	0.08670479907291499
-18.20066	-62.6008	2017-01-01-04:55:00	58.6364	92.52547	39.77386	249.58513	39.77386	0.6133112916702991
-19.738410000000002	-58.250569999999996	2017-01-01-17:25:00	61.589138	94.289185	24.55078	645.2778	24.55078	3.061299801321947
-19.54177	-57.39585	2017-01-01-17:25:00	35.503014	92.22666	15.488582000000001	474.68505999999996	15.488582000000001	0.024077818463449696
-14.76699	-66.63146	2017-01-01-17:27:00	0.066113904	47.674766999999996	0.15926518	284.0578	0.15926518	0.002540623792944434
-11.977210000000001	-54.31932	2017-01-01-17:27:00	0.24756786	67.193794	0.62532014	13.424585	0.62532014	0.05069784537252154
-10.238760000000001	-55.11042	2017-01-01-17:28:00	0.0069382465	37.42438	0.021592557000000002	6.072139	0.021592557000000002	0.045273630282749854
-9.26287	-60.31633000000001	2017-01-01-17:28:00	0.052777125999999994	49.498367	0.16876882	12.481441	0.16876882	0.022895391645665345
4.23359	-60.868559999999995	2017-01-01-17:32:00	3.703857	78.55516999999999	3.3205139999999997	124.07472	3.3205139999999997	0.0011812690268255426
-19.73483	-58.26051999999999	2017-01-02-04:37:00	38.074936	91.161865	11.191855	655.44275	11.191855	0.057500826843972876
-19.72961	-58.23888	2017-01-02-17:06:00	38.074936	91.161865	11.191855	655.44275	11.191855	0.02301618843020321
-19.22317	-56.97263	2017-01-02-17:07:00	25.170895	89.44089	8.331093	674.98114	8.331093	0.03924630098024237
-11.070689999999999	-54.053999999999995	2017-01-02-17:09:00	0.42475290000000004	76.50165	0.92728716	17.542723000000002	0.92728716	0.02313021608504692
-11.003860000000001	-54.52259	2017-01-02-17:09:00	0.27180102	70.52131	0.68362254	12.716781	0.68362254	0.025923340727256976
-10.50788	-52.014179999999996	2017-01-02-17:09:00	8.724098	91.08853	5.377999999999999	67.491035	5.377999999999999	0.26476225691544564
3.8272800000000005	-60.450219999999995	2017-01-02-17:13:00	48.304127	91.88108000000001	19.810816	520.48895	19.810816	0.034801959787269604
3.83439	-60.45131	2017-01-02-17:13:00	48.304127	91.88108000000001	19.810816	520.48895	19.810816	0.7666212185316393
4.00286	-60.712619999999994	2017-01-02-17:13:00	12.286826	88.58948000000001	9.938592	130.64061	9.938592	0.03185913344951509
4.32814	-60.77588000000001	2017-01-02-17:13:00	12.286826	88.58948000000001	9.938592	130.64061	9.938592	0.07132362141716632
-13.6659	-67.86665	2017-01-02-18:49:00	0.13384905	55.080402	0.37604499999999996	228.56297	0.37604499999999996	0.22359717146485705
-11.11159	-54.4985	2017-01-03-04:15:00	0.07552427	51.585747	0.20885563	9.548059	0.20885563	0.0953682913525883
-17.67525	-62.323440000000005	2017-01-03-05:58:00	20.817057000000002	88.83588	7.4610715	402.9224	7.4610715	2.80903387240008
-17.855220000000003	-62.42403	2017-01-03-05:58:00	20.817057000000002	88.83588	7.4610715	402.9224	7.4610715	0.5216147813686111
-17.86214	-62.40891	2017-01-03-05:58:00	20.817057000000002	88.83588	7.4610715	402.9224	7.4610715	1.5629829317395474
-17.861539999999998	-62.45976999999999	2017-01-03-05:58:00	20.817057000000002	88.83588	7.4610715	402.9224	7.4610715	2.30774833658944
-17.86594	-62.46666	2017-01-03-05:58:00	20.817057000000002	88.83588	7.4610715	402.9224	7.4610715	0.022495791026104116
-17.87789	-62.40769	2017-01-03-05:58:00	20.817057000000002	88.83588	7.4610715	402.9224	7.4610715	0.06484039018187426
-19.71761	-58.23254	2017-01-03-16:48:00	22.447218	85.97312	5.632046	654.5633	5.632046	0.5444020918664797
-19.71221	-58.23734	2017-01-03-16:48:00	22.447218	85.97312	5.632046	654.5633	5.632046	0.2039591441444299
-15.775960000000001	-60.70938	2017-01-03-16:49:00	1.6578635	76.80768	1.5986168	269.01337	1.5986168	0.9673062693834864
-13.114510000000001	-54.083690000000004	2017-01-03-16:49:00	3.2355287	85.18607	2.4924684	56.116756	2.4924684	0.07980091812493129
-12.336730000000001	-57.75962	2017-01-03-16:50:00	0.39526045	75.429924	0.8547037000000001	35.73688	0.8547037000000001	0.013907515929509371
-11.592260000000001	-54.70306	2017-01-03-16:50:00	0.5196956	76.15416	0.9183341	33.221940000000004	0.9183341	0.44317523631285494
-9.81151	-55.496919999999996	2017-01-03-16:50:00	0.09706726	52.383533	0.23879322	19.83093	0.23879322	0.025329387442711317
-6.574	-51.106120000000004	2017-01-03-16:51:00	0.06613355	50.08617	0.20408978	6.600105999999999	0.20408978	0.2517769274190519
-3.52829	-45.79625	2017-01-03-16:52:00	0.069786094	49.310390000000005	0.18893436	60.57275799999999	0.18893436	0.4624863494900187
3.23332	-60.19923000000001	2017-01-03-16:54:00	19.894845999999998	85.967316	7.1958427	564.56976	7.1958427	0.09763625520923763
3.3210800000000003	-60.137409999999996	2017-01-03-16:54:00	19.894845999999998	85.967316	7.1958427	564.56976	7.1958427	0.049670472240500786
-19.82761	-59.47926999999999	2017-01-03-18:28:00	30.382140000000003	88.17019	7.214666	914.0285	7.214666	1.7723891190432688
-19.646520000000002	-62.918169999999996	2017-01-03-18:28:00	39.707813	93.89492	26.400478000000003	97.76378000000001	26.400478000000003	0.13536624440293465
-18.39034	-63.288380000000004	2017-01-03-18:29:00	34.112235999999996	91.08055	15.607610000000001	281.4581	15.607610000000001	0.023264742523006227
-18.21032	-62.606480000000005	2017-01-03-18:29:00	36.124718	91.20387	16.506930999999998	269.86157000000003	16.506930999999998	0.8698892614853629
-15.82334	-66.94559	2017-01-03-18:30:00	0.0041556624	34.887314	0.013911258000000001	52.208447	0.013911258000000001	0.0488867291429368
-13.177439999999999	-64.41648	2017-01-03-18:30:00	0.4324835	70.33649399999999	0.8877062	282.17725	0.8877062	0.005191073657290162
-13.48369	-66.62823	2017-01-03-18:30:00	0.9284441999999999	72.84622	1.8174238999999999	359.02676	1.8174238999999999	0.032980387124132635
-13.04375	-66.43124	2017-01-03-18:30:00	0.9284441999999999	72.84622	1.8174238999999999	359.02676	1.8174238999999999	0.3957125267713299
-12.89012	-65.76165	2017-01-03-18:30:00	0.37477335	64.463486	0.87054026	257.73495	0.87054026	0.02308573715816422
-12.04429	-63.7354	2017-01-03-18:30:00	0.11047098	54.262516000000005	0.2899762	19.483639	0.2899762	0.1324076023518028
-5.2543	-45.92207	2017-01-04-03:54:00	0.11512151	53.615463	0.3711492	6.336689499999999	0.3711492	0.00988681155690073
-4.8605	-65.29495	2017-01-04-05:35:00	0.0026941989	33.671196	0.010188488	12.841726	0.010188488	0.023594854964722856
-9.26244	-60.3147	2017-01-04-05:36:00	0.002349372	33.09453	0.008400833	13.593164000000002	0.008400833	0.28402704541776325
-13.515620000000002	-65.01947	2017-01-04-05:38:00	1.4594145	72.76812	2.3862650000000003	276.7009	2.3862650000000003	0.19301512425733852
-17.05864	-62.72821999999999	2017-01-04-05:39:00	17.151958	87.562706	5.2792797	543.31836	5.2792797	0.07159172694954985
-17.71997	-62.14139	2017-01-04-05:39:00	30.573364	89.63458	12.270399000000001	412.7411	12.270399000000001	0.03368154841384045
-17.87347	-62.41981	2017-01-04-05:39:00	30.573364	89.63458	12.270399000000001	412.7411	12.270399000000001	0.02971354555284312
-17.9509	-61.8788	2017-01-04-05:39:00	30.573364	89.63458	12.270399000000001	412.7411	12.270399000000001	0.026147303323406788
-17.960829999999998	-62.39574	2017-01-04-05:39:00	30.573364	89.63458	12.270399000000001	412.7411	12.270399000000001	0.0253413644632218
-18.0733	-62.7501	2017-01-04-05:39:00	54.97849	91.26848000000001	30.420403999999998	279.78713999999997	30.420403999999998	0.761656625454745
-18.31391	-62.82167	2017-01-04-05:39:00	54.97849	91.26848000000001	30.420403999999998	279.78713999999997	30.420403999999998	0.02532547168502941
-18.39785	-62.65381	2017-01-04-05:39:00	54.97849	91.26848000000001	30.420403999999998	279.78713999999997	30.420403999999998	0.08539369752371995
-19.702	-58.26859	2017-01-04-05:39:00	52.288036	92.14110600000001	19.561428	664.9445	19.561428	8.90781178159968
-19.17101	-63.47189	2017-01-04-05:39:00	54.176056	93.97119	39.370509999999996	117.352554	39.370509999999996	3.6973032786082176
-19.1722	-63.46311	2017-01-04-05:39:00	54.176056	93.97119	39.370509999999996	117.352554	39.370509999999996	0.026907247522772317
-19.17886	-63.46864	2017-01-04-05:39:00	54.176056	93.97119	39.370509999999996	117.352554	39.370509999999996	0.4593267312311996
-19.14162	-57.14079	2017-01-04-16:29:00	33.287006	92.62991	21.126259	303.5543	21.126259	0.4149285251812358
-18.49588	-57.20701999999999	2017-01-04-16:29:00	39.92727	92.18171	15.126378	1026.4846	15.126378	0.06971661107371635
-11.46531	-51.958009999999994	2017-01-04-16:31:00	2.0849793	79.51031	1.409147	80.88462	1.409147	0.04510639210563118
